rho_1,theta_1,field_strength
0,4.27257,56.9914
600000,4.27257,51.627
1.2e+06,4.27257,39.7237
1.8e+06,4.27257,28.6101
2.4e+06,4.27257,20.6673
3e+06,4.27257,15.2999
3.6e+06,4.27257,11.6126
4.2e+06,4.27257,9.00373
4.8e+06,4.27257,7.10708
5.4e+06,4.27257,5.69646
6e+06,4.27257,4.62721
0,4.3354,56.9914
600000,4.3354,51.5275
1.2e+06,4.3354,39.621
1.8e+06,4.3354,28.5344
2.4e+06,4.3354,20.6147
3e+06,4.3354,15.2631
3.6e+06,4.3354,11.5862
4.2e+06,4.3354,8.98437
4.8e+06,4.3354,7.09261
5.4e+06,4.3354,5.68545
6e+06,4.3354,4.61871
0,4.39823,56.9914
600000,4.39823,51.4242
1.2e+06,4.39823,39.5131
1.8e+06,4.39823,28.4548
2.4e+06,4.39823,20.5596
3e+06,4.39823,15.2246
3.6e+06,4.39823,11.5587
4.2e+06,4.39823,8.9643
4.8e+06,4.39823,7.07764
5.4e+06,4.39823,5.67408
6e+06,4.39823,4.60995
0,4.46106,56.9914
600000,4.46106,51.3174
1.2e+06,4.46106,39.3999
1.8e+06,4.46106,28.3714
2.4e+06,4.46106,20.5021
3e+06,4.46106,15.1847
3.6e+06,4.46106,11.5303
4.2e+06,4.46106,8.94356
4.8e+06,4.46106,7.06221
5.4e+06,4.46106,5.66239
6e+06,4.46106,4.60096
0,4.52389,56.9914
600000,4.52389,51.2072
1.2e+06,4.52389,39.2816
1.8e+06,4.52389,28.2841
2.4e+06,4.52389,20.4422
3e+06,4.52389,15.1432
3.6e+06,4.52389,11.5009
4.2e+06,4.52389,8.92222
4.8e+06,4.52389,7.04636
5.4e+06,4.52389,5.65041
6e+06,4.52389,4.59176
0,4.58673,56.9914
600000,4.58673,51.0939
1.2e+06,4.58673,39.1582
1.8e+06,4.58673,28.1931
2.4e+06,4.58673,20.38
3e+06,4.58673,15.1004
3.6e+06,4.58673,11.4707
4.2e+06,4.58673,8.90033
4.8e+06,4.58673,7.03016
5.4e+06,4.58673,5.63818
6e+06,4.58673,4.58238
0,4.64956,56.9914
600000,4.64956,50.978
1.2e+06,4.64956,39.0298
1.8e+06,4.64956,28.0983
2.4e+06,4.64956,20.3156
3e+06,4.64956,15.0563
3.6e+06,4.64956,11.4397
4.2e+06,4.64956,8.87795
4.8e+06,4.64956,7.01363
5.4e+06,4.64956,5.62574
6e+06,4.64956,4.57286
0,4.71239,56.9914
600000,4.71239,50.8597
1.2e+06,4.71239,38.8966
1.8e+06,4.71239,28
2.4e+06,4.71239,20.2491
3e+06,4.71239,15.011
3.6e+06,4.71239,11.408
4.2e+06,4.71239,8.85517
4.8e+06,4.71239,6.99686
5.4e+06,4.71239,5.61314
6e+06,4.71239,4.56323
0,4.77522,56.9914
600000,4.77522,50.7395
1.2e+06,4.77522,38.759
1.8e+06,4.77522,27.8984
2.4e+06,4.77522,20.1808
3e+06,4.77522,14.9647
3.6e+06,4.77522,11.3757
4.2e+06,4.77522,8.83207
4.8e+06,4.77522,6.97989
5.4e+06,4.77522,5.60043
6e+06,4.77522,4.55353
0,4.83805,56.9914
600000,4.83805,50.6179
1.2e+06,4.83805,38.6173
1.8e+06,4.83805,27.7937
2.4e+06,4.83805,20.1108
3e+06,4.83805,14.9176
3.6e+06,4.83805,11.3431
4.2e+06,4.83805,8.80875
4.8e+06,4.83805,6.96282
5.4e+06,4.83805,5.58766
6e+06,4.83805,4.54381
0,4.90088,56.9914
600000,4.90088,50.4955
1.2e+06,4.90088,38.472
1.8e+06,4.90088,27.6863
2.4e+06,4.90088,20.0394
3e+06,4.90088,14.8699
3.6e+06,4.90088,11.3101
4.2e+06,4.90088,8.78532
4.8e+06,4.90088,6.94571
5.4e+06,4.90088,5.5749
6e+06,4.90088,4.53412
0,4.96372,56.9914
600000,4.96372,50.3729
1.2e+06,4.96372,38.3238
1.8e+06,4.96372,27.5766
2.4e+06,4.96372,19.967
3e+06,4.96372,14.8217
3.6e+06,4.96372,11.2771
4.2e+06,4.96372,8.76189
4.8e+06,4.96372,6.92866
5.4e+06,4.96372,5.5622
6e+06,4.96372,4.52449
0,5.02655,56.9914
600000,5.02655,50.2508
1.2e+06,5.02655,38.1733
